customer_sk,customer_id,first_name,last_name,email,residential_location,customer_segment
1,CUST_00001,Chelsey,Francis,chelsey.francis@gmail.com,Boston,High Value
2,CUST_00002,Chad,Herrera,chad.herrera@gmail.com,San Antonio,Churn Risk
3,CUST_00003,Calvin,Hale,calvin.hale@yahoo.com,Fort Worth,Churn Risk
4,CUST_00004,Richard,Smith,richard.smith@outlook.com,Denver,First-time Buyer
5,CUST_00005,Daniel,Mays,daniel.mays@yahoo.com,Virginia Beach,Online Shopper
6,CUST_00006,Stanley,Cain,stanley.cain@outlook.com,Philadelphia,First-time Buyer
7,CUST_00007,Charles,Ross,charles.ross@outlook.com,Tulsa,Premium Shopper
8,CUST_00008,Barbara,Hartman,barbara.hartman@outlook.com,Washington,Deal Seeker
9,CUST_00009,Tammy,Mcknight,tammy.mcknight@gmail.com,San Francisco,Premium Shopper
10,CUST_00010,Leslie,Todd,leslie.todd@yahoo.com,Milwaukee,First-time Buyer
11,CUST_00011,John,Peters,john.peters@gmail.com,El Paso,In-Store Regular
12,CUST_00012,Dylan,Spencer,dylan.spencer@outlook.com,Nashville,First-time Buyer
13,CUST_00013,Nicholas,Rodriguez,nicholas.rodriguez@yahoo.com,Dallas,Online Shopper
14,CUST_00014,Christina,Graham,christina.graham@yahoo.com,Las Vegas,Online Shopper
15,CUST_00015,Seth,Stewart,seth.stewart@outlook.com,Memphis,Loyal Customer
16,CUST_00016,Jessica,Johnson,jessica.johnson@outlook.com,Philadelphia,Loyal Customer
17,CUST_00017,Nancy,Hall,nancy.hall@yahoo.com,Memphis,First-time Buyer
18,CUST_00018,Thomas,Thompson,thomas.thompson@gmail.com,Columbus,Premium Shopper
19,CUST_00019,Vickie,Thompson,vickie.thompson@outlook.com,Arlington,Occasional Shopper
20,CUST_00020,Jacob,Gordon,jacob.gordon@gmail.com,Baltimore,Churn Risk
21,CUST_00021,Katherine,Woods,katherine.woods@outlook.com,Chicago,Premium Shopper
22,CUST_00022,Kristen,Johnston,kristen.johnston@outlook.com,Los Angeles,Loyal Customer
23,CUST_00023,Christopher,Cruz,christopher.cruz@gmail.com,Colorado Springs,Online Shopper
24,CUST_00024,Darin,Price,darin.price@outlook.com,San Jose,Occasional Shopper
25,CUST_00025,Larry,Hoffman,larry.hoffman@outlook.com,New York,Premium Shopper
26,CUST_00026,Scott,Zuniga,scott.zuniga@gmail.com,Indianapolis,First-time Buyer
27,CUST_00027,Elizabeth,Martinez,elizabeth.martinez@yahoo.com,Philadelphia,Premium Shopper
28,CUST_00028,Justin,Barrett,justin.barrett@outlook.com,Chicago,Premium Shopper
29,CUST_00029,Gina,Ramos,gina.ramos@gmail.com,Omaha,Budget Shopper
30,CUST_00030,Cynthia,Newman,cynthia.newman@gmail.com,Seattle,In-Store Regular
31,CUST_00031,Dylan,Jones,dylan.jones@gmail.com,New York,First-time Buyer
32,CUST_00032,Megan,Knight,megan.knight@outlook.com,Portland,In-Store Regular
33,CUST_00033,Benjamin,Potts,benjamin.potts@outlook.com,New Orleans,In-Store Regular
34,CUST_00034,Billy,Harris,billy.harris@yahoo.com,Tucson,Deal Seeker
35,CUST_00035,Michelle,Turner,michelle.turner@outlook.com,Arlington,Deal Seeker
36,CUST_00036,Victoria,Villegas,victoria.villegas@gmail.com,Oakland,First-time Buyer
